epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
100,7510.09,0.80921,0.56529,1.04888,0.87184,0.73149,0.77103,0.45184,1.44326,0.74354,1.46328,0.0215991,0.00719971,0.0215991,0.00719971,0.0215991,0.00719971,0.0215991,0.00719971
101,7585.78,0.81592,0.56726,1.04568,0.86757,0.72845,0.77007,0.45526,1.462,0.72432,1.45162,0.0215143,0.00717143,0.0215143,0.00717143,0.0215143,0.00717143,0.0215143,0.00717143
102,7661.28,0.80498,0.56164,1.04597,0.85757,0.73725,0.77491,0.45661,1.44951,0.70897,1.45902,0.0214294,0.00714314,0.0214294,0.00714314,0.0214294,0.00714314,0.0214294,0.00714314
103,7736.89,0.80778,0.56198,1.04624,0.87323,0.73596,0.78377,0.4625,1.42814,0.70071,1.42557,0.0213446,0.00711486,0.0213446,0.00711486,0.0213446,0.00711486,0.0213446,0.00711486
104,7812.81,0.80177,0.55698,1.0428,0.87906,0.73409,0.79114,0.46771,1.46346,0.69359,1.4547,0.0212597,0.00708657,0.0212597,0.00708657,0.0212597,0.00708657,0.0212597,0.00708657
105,7888.83,0.80858,0.56352,1.0469,0.86984,0.74256,0.79831,0.4705,1.44701,0.68818,1.46016,0.0211749,0.00705829,0.0211749,0.00705829,0.0211749,0.00705829,0.0211749,0.00705829
106,7965.05,0.7948,0.55547,1.03976,0.84518,0.74234,0.7751,0.46552,1.4337,0.71782,1.43756,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
107,8040.73,0.79555,0.55252,1.04006,0.88164,0.73116,0.79341,0.4706,1.41115,0.70643,1.42355,0.0210051,0.00700171,0.0210051,0.00700171,0.0210051,0.00700171,0.0210051,0.00700171
108,8116.74,0.80053,0.55258,1.0407,0.85341,0.73324,0.76707,0.44651,1.49934,0.72685,1.48418,0.0209203,0.00697343,0.0209203,0.00697343,0.0209203,0.00697343,0.0209203,0.00697343
109,8192.28,0.79656,0.54993,1.03761,0.88417,0.72311,0.78487,0.46736,1.44422,0.69674,1.43756,0.0208354,0.00694514,0.0208354,0.00694514,0.0208354,0.00694514,0.0208354,0.00694514
110,8267.87,0.79907,0.55718,1.0432,0.84446,0.75035,0.77763,0.45994,1.47336,0.6902,1.48056,0.0207506,0.00691686,0.0207506,0.00691686,0.0207506,0.00691686,0.0207506,0.00691686
111,8343.3,0.79533,0.54556,1.03496,0.87851,0.71476,0.77698,0.46556,1.46149,0.69518,1.47388,0.0206657,0.00688857,0.0206657,0.00688857,0.0206657,0.00688857,0.0206657,0.00688857
112,8418.89,0.79386,0.54605,1.03739,0.83814,0.72562,0.77011,0.45899,1.44436,0.70018,1.45072,0.0205809,0.00686029,0.0205809,0.00686029,0.0205809,0.00686029,0.0205809,0.00686029
113,8494.2,0.78714,0.54122,1.03459,0.8617,0.73012,0.7787,0.46643,1.40457,0.69023,1.42477,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
114,8569.84,0.79202,0.54711,1.03537,0.86651,0.71809,0.77357,0.48003,1.36405,0.6726,1.40622,0.0204111,0.00680371,0.0204111,0.00680371,0.0204111,0.00680371,0.0204111,0.00680371
115,8645.54,0.78825,0.54145,1.03186,0.84234,0.73114,0.77586,0.46758,1.4265,0.68475,1.4388,0.0203263,0.00677543,0.0203263,0.00677543,0.0203263,0.00677543,0.0203263,0.00677543
116,8720.81,0.78337,0.53936,1.03479,0.89903,0.75211,0.807,0.47239,1.43041,0.68008,1.44686,0.0202414,0.00674714,0.0202414,0.00674714,0.0202414,0.00674714,0.0202414,0.00674714
117,8796.56,0.78639,0.54074,1.02999,0.88176,0.7342,0.7933,0.4701,1.46206,0.68824,1.45594,0.0201566,0.00671886,0.0201566,0.00671886,0.0201566,0.00671886,0.0201566,0.00671886
118,8871.99,0.78255,0.5356,1.02901,0.86591,0.73793,0.78505,0.46954,1.43219,0.66647,1.43465,0.0200717,0.00669057,0.0200717,0.00669057,0.0200717,0.00669057,0.0200717,0.00669057
119,8947.68,0.77948,0.53507,1.0287,0.8406,0.75861,0.79548,0.47078,1.4323,0.66399,1.44926,0.0199869,0.00666229,0.0199869,0.00666229,0.0199869,0.00666229,0.0199869,0.00666229
120,9022.83,0.77253,0.53289,1.02862,0.8828,0.72812,0.78591,0.46854,1.447,0.66529,1.469,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
121,9098.34,0.77532,0.53381,1.02656,0.88757,0.71912,0.78587,0.47862,1.42086,0.66793,1.44325,0.0198171,0.00660571,0.0198171,0.00660571,0.0198171,0.00660571,0.0198171,0.00660571
122,9173.65,0.7731,0.53216,1.02662,0.88983,0.72367,0.77922,0.47098,1.40104,0.67848,1.41743,0.0197323,0.00657743,0.0197323,0.00657743,0.0197323,0.00657743,0.0197323,0.00657743
123,9249,0.77309,0.53424,1.02744,0.8604,0.75615,0.79208,0.48448,1.37713,0.64817,1.39665,0.0196474,0.00654914,0.0196474,0.00654914,0.0196474,0.00654914,0.0196474,0.00654914
124,9324.81,0.77446,0.5315,1.02907,0.88302,0.73769,0.78848,0.4798,1.3981,0.68001,1.41523,0.0195626,0.00652086,0.0195626,0.00652086,0.0195626,0.00652086,0.0195626,0.00652086
125,9400.32,0.76461,0.52393,1.0207,0.85963,0.7305,0.78299,0.46235,1.4532,0.69762,1.47294,0.0194777,0.00649257,0.0194777,0.00649257,0.0194777,0.00649257,0.0194777,0.00649257
126,9475.75,0.76166,0.52076,1.02346,0.87551,0.75585,0.79887,0.46983,1.4308,0.67953,1.44414,0.0193929,0.00646429,0.0193929,0.00646429,0.0193929,0.00646429,0.0193929,0.00646429
